,Food group,Group, Baseline,Value,CF,DALY
178,Veg_mushroom,5.0,4.18172658468809,62.6,0.0,0.25
179,Veg_other_coarse,5.0,55.937169704039,60.4,0.0,0.25
180,Veg_other_fine,5.0,55.6228442253019,40.1,0.0,0.25
181,Veg_redorange_coarse,5.0,35.6293156621765,63.2,0.0,0.25
182,Veg_redorange_fine,5.0,58.0208837176865,11.0,0.0,0.25
183,Meat_pork_offal,6.0,11.4006798762317,16.8,0.0,0.25
184,Meat_pork_processed,6.0,27.5313752689261,50.6,0.0,0.25
185,Meat_pork_raw,6.0,49.2471426639361,47.7,0.0,0.25
186,Meat_ruminant,6.0,50.515039627682,6.5,0.0,0.25
187,Nuts,7.0,6.05705976188517,0.4,0.0,0.25
188,Seeds,7.0,0.441603534023337,1.3,0.0,0.25
189,Legumes,8.0,3.06,271.7,0.0,0.25
190,Alcohol,,241.442485855727,788.0,0.0,0.25
191,Coffee_tea_cocoa,,765.994878325908,28.4,0.0,0.25
192,Egg,,24.9672535305872,5.4,0.0,0.25
193,Fat_animal,,12.2472415498424,20.5,0.0,0.25
194,Fat_plant,,28.0416328686588,32.5,0.0,0.25
195,Meat_poultry,,29.0020243924439,106.2,0.0,0.25
196,Replacer_meat_dairy,,1.20017322435697,1.2,0.0,0.25
197,Soda,,190.083267280989,197.0,0.0,0.25
198,Spices_miscellaneous,,21.8212718851534,0.0,0.0,0.25
199,Water,,1221.01509371654,1171.5,0.0,0.25
200,Bread_rye,1.0,64.3214138169407,99.8,0.25,0.25
201,Bread_wheat_coarse,1.0,34.3722328092571,45.7,0.25,0.25
202,Bread_wheat_fine,1.0,51.3582512086115,72.8,0.25,0.25
203,Breakfastcereals,1.0,6.40876221981927,6.8,0.25,0.25
204,Discretionary_foods,1.0,57.8180503622414,65.8,0.25,0.25
205,Flour_kernels,1.0,24.802455439947,35.3,0.25,0.25
206,Oats,1.0,14.5261640762295,19.4,0.25,0.25
207,Pasta,1.0,8.11542000546066,9.2,0.25,0.25
208,Rice,1.0,6.54718536425384,7.0,0.25,0.25
209,Cheese_fresh,2.0,6.52183371875592,6.2,0.25,0.25
210,Cheese_other,2.0,38.6973569484548,8.9,0.25,0.25
211,Dairy_fermented,2.0,30.6551698946953,31.2,0.25,0.25
212,Dairy_other,2.0,16.67,12.9,0.25,0.25
213,Milk_highfat,2.0,110.01,116.1,0.25,0.25
214,Milk_lowfat,2.0,162.81288340884,186.9,0.25,0.25
215,Fish_fatty,3.0,16.7881573230695,22.5,0.25,0.25
216,Fish_lean_highclimate,3.0,9.05882738179107,8.0,0.25,0.25
217,Fish_lean_lowmediumclimate,3.0,9.99451177443916,14.8,0.25,0.25
218,Fruit_berry,4.0,15.2527109490058,15.9,0.25,0.25
219,Fruit_citrus,4.0,19.3344139165275,19.9,0.25,0.25
220,Fruit_dried,4.0,3.20122273516868,3.3,0.25,0.25
221,Fruit_juice,4.0,59.2189094830217,54.0,0.25,0.25
222,Fruit_pome,4.0,66.9856413042249,77.5,0.25,0.25
223,Fruit_stone,4.0,15.219228949945,15.5,0.25,0.25
224,Fruit_tropical,4.0,63.6021325491428,63.5,0.25,0.25
225,Potatoes,,85.4825248197403,7.7,0.25,0.25
226,Veg_darkgreen,5.0,7.30254950863854,9.4,0.25,0.25
227,Veg_greenpeas,5.0,8.94152558223746,4.3,0.25,0.25
228,Veg_mushroom,5.0,4.18172658468809,59.8,0.25,0.25
229,Veg_other_coarse,5.0,55.937169704039,54.6,0.25,0.25
230,Veg_other_fine,5.0,55.6228442253019,39.3,0.25,0.25
231,Veg_redorange_coarse,5.0,35.6293156621765,55.0,0.25,0.25
232,Veg_redorange_fine,5.0,58.0208837176865,12.2,0.25,0.25
233,Meat_pork_offal,6.0,11.4006798762317,15.5,0.25,0.25
234,Meat_pork_processed,6.0,27.5313752689261,50.5,0.25,0.25
235,Meat_pork_raw,6.0,49.2471426639361,0.0,0.25,0.25
236,Meat_ruminant,6.0,50.515039627682,6.7,0.25,0.25
237,Nuts,7.0,6.05705976188517,0.4,0.25,0.25
238,Seeds,7.0,0.441603534023337,1.3,0.25,0.25
239,Legumes,8.0,3.06,195.1,0.25,0.25
240,Alcohol,,241.442485855727,513.7,0.25,0.25
241,Coffee_tea_cocoa,,765.994878325908,36.4,0.25,0.25
242,Egg,,24.9672535305872,6.3,0.25,0.25
243,Fat_animal,,12.2472415498424,20.9,0.25,0.25
244,Fat_plant,,28.0416328686588,31.6,0.25,0.25
245,Meat_poultry,,29.0020243924439,109.2,0.25,0.25
246,Replacer_meat_dairy,,1.20017322435697,1.2,0.25,0.25
247,Soda,,190.083267280989,177.6,0.25,0.25
248,Spices_miscellaneous,,21.8212718851534,0.0,0.25,0.25
